Styles,Origin,Derived From,Balance of hard and soft techniques,Stances,Representative Kata,Number of kata
Chit?ry«,Okinawa,Sh?reiry« or Nahate  Sh?rinry«,both elements exist but more soft than hard,natural,Shi Ho Hai  Seisan  Ro Hai Sho  Niseishi  Bassai  Chinto  Sochin  Tenshin  Ro Hai Dai  Sanshiryu  Ryushan  Kusanku  Sanchin,15 kata not including kihon and Bo kihon/kata
G?j«ry«,Okinawa,Fujian White Crane and Nahate,both,deep/natural,Sanchin  Tensho  Gekisai Dai/Sho  Seipai  Saifa  Suparinpei,12
Gosokury«,Japan,G?j«ry«  Shotokan,both,deep (beginner)  natural (advanced),Gosoku  Rikyu  Denko Getsu  Tamashi,46 including weapons kata
Isshinry«,Okinawa,G?j«ry«  Sh?rinry«  Kobud?,both  fast & hard,natural,Seisan  Naihanchi  Wansu  Passai  Chinto  Kusanku  Seiunchin  Sanchin  Sunsu,15 including weapons kata
Kyokushin,Japan,Shotokan  G?j«ry«,extremely hard,natural,Taikyoku  Pinan  Kanku  Sanchin  Tensho  Garyu,23 ( 8 ura kata)
Sh«k?kai,Japan,G?j«ry« & Shit?ry«,60% hard  40% soft,natural,Pinan  Bassai Dai  Seienchin  Saifa  R?hai,44
Shind? jinenry«,Japan and Okinawa,primarily Shurite like Shit?ry«  but also Nahate and Tomarite,both,deep/natural,Shimpa  Taisabaki 13  Sunakake no Kon,More than 60 counting all kobudo kata
Shit?ry«,Japan and Okinawa,Shurite and Nahate,both,deep/natural,Pinan  Bassai Dai  Seienchin  Saifa  R?hai  Nipaipo,94
Sh?rinry«,Okinawa,Shurite  Tomarite  Chinese martial arts,both  primarily fast & hard,natural,Fukyu  Pinan  Naihanchi  passai  kanku  seisan,21
Shotokan,Japan,Sh?rinry« and Sh?reiry«,70% hard  30% soft/fast,deep (beginner)  longer (advanced),3 Taikyoku  5 Heian  3 Tekki  Jion  Kanku Dai  Bassai Dai  Empi  Sochin,26
Shuriry«,Okinawa,Shurite  Hsingyi,both,deep/natural,Wunsu  ONaihanchi  Sanchin,15
Uechiry«,Okinawa,Pangainoon Kung Fu  Nahate,halfhard  halfsoft,mainly natural,Sanchin  Seisan  Sanseirui,8
Wad?ry«,Japan and Okinawa,Shind? Y?shinry« Jujutsu  Tomarite and Shotokan,both  primarily soft,mainly natural,Pinan  Kushanku  Seishan  Chint?  Naihanchi  Jion  Wanshu  Jitte and Niseishi[5],15
Y?sh«kai,Japan and Okinawa,Chit?ry«,60% hard  40% soft,deep (beginner)  natural (advanced),Seisan  Sochin  Tenshin  Bassai (core katas),18
